step,op_type,depth,scale,delta_noise,noise_ratio,since_last_reset,noise,next_noise
0,0,0,1.099511627776,-0.004250365101338654,0.5749634898661345,0,0.005749634898661346,0.0080967934351625
1,0,0,1.099511627776,0.0023471585365011536,1.4082274053692747,1,0.0080967934351625,0.010551898891451934
2,0,0,1.099511627776,0.002455105456289434,1.3032194752094675,2,0.010551898891451934,0.01920165509510471
3,1,0,1.099511627776,0.008649756203652777,1.8197345608248694,3,0.01920165509510471,0.02034696162909869
4,0,1,2.199023255552,0.0011453065339939797,1.0596462403017521,4,0.02034696162909869,0.02201235900990528
5,0,1,2.199023255552,0.0016653973808065901,1.0818499297912305,5,0.02201235900990528,0.013592098581058148
6,0,1,2.199023255552,-0.008420260428847132,0.6174757814435916,6,0.013592098581058148,0.021210568820645054
7,0,1,2.199023255552,0.007618470239586906,1.5605072825328057,7,0.021210568820645054,0.02799794219034037
8,1,1,2.199023255552,0.006787373369695315,1.3199995920471923,8,0.02799794219034037,0.03243060874952024
9,0,2,3.298534883328,0.004432666559179867,1.158321155499392,9,0.03243060874952024,0.038717413122784365
10,0,2,3.298534883328,0.006286804373264128,1.1938540352979692,10,0.038717413122784365,0.05296904833858995
11,0,2,3.298534883328,0.014251635215805587,1.3680936835994038,11,0.05296904833858995,0.08011252845880755
12,1,2,3.298534883328,0.027143480120217597,1.5124403962614248,12,0.08011252845880755,0.10724937126423567
13,0,3,4.398046511104,0.02713684280542812,1.3387340697826233,13,0.10724937126423567,0.14402727443178884
14,0,3,4.398046511104,0.036777903167553166,1.342919522361969,14,0.14402727443178884,0.2021847007606681
15,0,3,4.398046511104,0.05815742632887927,1.4037945351553713,15,0.2021847007606681,0.31452674999034297
16,1,3,4.398046511104,0.11234204922967486,1.5556407028178527,16,0.31452674999034297,0.4555392008497114
17,0,4,5.49755813888,0.14101245085936842,1.448332139837702,17,0.4555392008497114,0.6597961909020165
18,0,4,5.49755813888,0.20425699005230508,1.4483850998362098,18,0.6597961909020165,1.0
19,1,4,5.49755813888,0.34020380909798353,1.515619540987174,19,1.0,0.0046681052444037955
20,0,0,1.099511627776,-0.005331894755596205,0.4668105244403795,0,0.0046681052444037955,0.007243785068156797
21,1,0,1.099511627776,0.0025756798237530016,1.5517613011919067,1,0.007243785068156797,0.0139850528107145
22,1,1,2.199023255552,0.006741267742557703,1.9306277973640982,2,0.0139850528107145,0.018910195710709607
23,0,2,3.298534883328,0.004925142899995107,1.3521719200246252,3,0.018910195710709607,0.02383299734121062
24,0,2,3.298534883328,0.0049228016305010135,1.26032526081753,4,0.02383299734121062,0.02926058237049862
25,0,2,3.298534883328,0.005427585029288001,1.2277340508867904,5,0.02926058237049862,0.03546939576985405
26,0,2,3.298534883328,0.006208813399355428,1.212190356320978,6,0.03546939576985405,0.051073180007368754
27,0,2,3.298534883328,0.015603784237514705,1.4399224711568552,7,0.051073180007368754,0.0675509691715634
28,0,2,3.298534883328,0.01647778916419465,1.322630961334643,8,0.0675509691715634,0.08527637443242123
29,0,2,3.298534883328,0.01772540526085782,1.2624004581760997,9,0.08527637443242123,0.12460700302052911
30,1,2,3.298534883328,0.03933062858810789,1.4612136579431638,10,0.12460700302052911,0.17388256410154418
31,0,3,4.398046511104,0.049275561081015065,1.3954477668714724,11,0.17388256410154418,0.2800465602906334
32,1,3,4.398046511104,0.10616399618908923,1.6105499808887764,12,0.2800465602906334,0.46978672643661784
33,1,4,5.49755813888,0.18974016614598443,1.6775307861273903,13,0.46978672643661784,0.7150020791069303
34,0,5,6.597069766656,0.24521535267031241,1.521971649838421,14,0.7150020791069303,1.0
35,1,5,6.597069766656,0.28499792089306974,1.3985973317015314,15,1.0,0.010420374882542672
36,0,0,1.099511627776,0.000420374882542672,1.0420374882542671,0,0.010420374882542672,0.009732522391996002
37,0,0,1.099511627776,-0.0006878524905466702,0.9339896598442888,1,0.009732522391996002,0.01722435091122703
38,1,0,1.099511627776,0.007491828519231029,1.7697725437952536,2,0.01722435091122703,0.022339834567369394
39,0,1,2.199023255552,0.005115483656142363,1.2969913747407475,3,0.022339834567369394,0.031916202628012987
40,0,1,2.199023255552,0.009576368060643593,1.4286678145160163,4,0.031916202628012987,0.04932782290070277
